Term, Election Time, Normal Operations
3, 50, 735
4, 45, 329
5, 47, 457
6, 53, 310
7, 49, 442
8, 61, 454
9, 43, 311
10, 52, 450
11, 56, 470
12, 48, 459
13, 58, 446
14, 51, 468
15, 59, 452
16, 49, 446
17, 53, 457
18, 43, 466
19, 57, 453
20, 49, 452
21, 46, 321
22, 44, 339
23, 49, 316
24, 50, 317
25, 47, 315
26, 51, 314
27, 52, 315
28, 52, 304
29, 53, 338
30, 47, 325
31, 36, 454
32, 57, 457
33, 42, 450
34, 57, 324
35, 46, 316
36, 57, 310
37, 52, 460
38, 56, 329
39, 42, 322
40, 42, 320
41, 49, 320
42, 66, 456
43, 51, 446
44, 42, 467
45, 54, 305
46, 54, 446
47, 54, 461
48, 49, 316
